Team,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26
Atlanta Hawks,"102,325,554.00","100,996,087.00","79,842,392.00","26,109,063.00",,
Boston Celtics,"117,111,401.00","131,777,626.00","112,682,413.00","70,873,439.00","34,848,402.00","37,096,686.00"
Brooklyn Nets,"157,814,503.00","155,346,060.00","126,543,145.00","19,928,571.00",,
Charlotte Hornets,"121,989,128.00","72,539,480.00","48,245,657.00","44,331,316.00",,
Chicago Bulls,"126,035,037.00","72,671,867.00","17,120,036.00","9,835,881.00",,
Cleveland Cavaliers,"124,083,952.00","79,760,907.00","71,697,444.00","15,570,795.00",,
Dallas Mavericks,"126,463,122.00","92,809,885.00","63,021,299.00","42,712,220.00",,
Denver Nuggets,"125,885,711.00","124,532,365.00","71,439,477.00","44,796,338.00","38,610,000.00",
Detroit Pistons,"132,668,175.00","111,414,049.00","51,896,600.00","20,104,318.00","2,866,667.00",
Golden State Warriors,"175,042,071.00","166,249,276.00","115,458,759.00","82,925,105.00",,
Houston Rockets,"142,267,551.00","131,162,683.00","131,812,562.00","22,848,583.00",,
Indiana Pacers,"130,246,338.00","102,587,485.00","73,525,960.00","21,312,500.00",,
Los Angeles Clippers,"141,490,310.00","126,596,363.00","29,744,776.00","17,116,279.00",,
Los Angeles Lakers,"135,459,639.00","108,895,517.00","98,625,709.00","40,600,080.00","43,219,440.00",
Memphis Grizzlies,"128,519,246.00","98,411,160.00","45,236,285.00","17,870,241.00",,
Miami Heat,"124,604,440.00","130,215,788.00","76,567,410.00","36,979,645.00","34,848,402.00","37,096,686.00"
Milwaukee Bucks,"140,306,680.00","107,160,496.00","64,916,980.00","40,396,552.00",,
Minnesota Timberwolves,"129,527,263.00","131,134,678.00","113,022,930.00","69,930,322.00",,
New Orleans Pelicans,"104,760,419.00","61,950,370.00","66,653,571.00","5,722,116.00",,
New York Knicks,"88,745,438.00","62,165,483.00","22,057,218.00","10,974,560.00",,
Oklahoma City Thunder,"89,466,731.00","34,490,001.00","18,606,728.00","5,009,633.00",,
Orlando Magic,"136,544,492.00","89,827,361.00","40,547,000.00","10,806,484.00",,
Philadelphia 76ers,"150,758,474.00","142,690,339.00","149,247,535.00","77,235,517.00","38,610,000.00",
Phoenix Suns,"124,614,903.00","127,438,065.00","68,315,810.00","41,924,454.00",,
Portland Trail Blazers,"128,308,277.00","130,790,090.00","87,599,310.00","89,396,898.00","54,250,000.00",
Sacramento Kings,"112,113,931.00","107,083,600.00","78,918,056.00","58,907,416.00","34,848,402.00","37,096,686.00"
San Antonio Spurs,"133,350,146.00","42,499,331.00","42,530,066.00","23,602,185.00",,
Toronto Raptors,"128,481,711.00","86,431,535.00","57,035,720.00","62,657,099.00",,
Utah Jazz,"131,427,094.00","98,782,124.00","84,921,943.00","60,747,888.00","34,848,402.00","37,096,686.00"
Washington Wizards,"128,562,684.00","127,872,066.00","111,505,126.00","23,366,636.00","18,206,897.00",